crash_id,year,month,day_of_week,time_of_day,christmas,easter
20152064,2015,10,Weekday,Day,No,No
20152082,2015,10,Weekday,Day,No,No
20152050,2015,10,Weekday,Day,No,No
20155137,2015,10,Weekday,Day,No,No
20151291,2015,10,Weekday,Night,No,No
20154088,2015,10,Weekday,Night,No,No
20152098,2015,10,Weekday,Night,No,No
20151108,2015,10,Weekday,Night,No,No
20151089,2015,10,Weekday,Night,No,No
20157032,2015,10,Weekday,Night,No,No
20151107,2015,10,Weekday,Day,No,No
20152027,2015,10,Weekday,Day,No,No
20154041,2015,10,Weekday,Day,No,No
20154093,2015,10,Weekday,Day,No,No
20156032,2015,10,Weekday,Day,No,No
20152045,2015,10,Weekday,Night,No,No
20152063,2015,10,Weekday,Day,No,No
20152138,2015,10,Weekday,Day,No,No
20151147,2015,10,Weekday,Day,No,No
20151321,2015,10,Weekday,Day,No,No
20152069,2015,10,Weekday,Day,No,No
20154031,2015,10,Weekday,Day,No,No
20155042,2015,10,Weekday,Night,No,No
20152165,2015,10,Weekday,Night,No,No
20151315,2015,10,Weekday,Night,No,No
20151295,2015,10,Weekday,Night,No,No
20152206,2015,9,Weekday,Day,No,No
20151030,2015,9,Weekday,Day,No,No
20152201,2015,9,Weekday,Day,No,No
20155122,2015,9,Weekday,Day,No,No
20154080,2015,9,Weekday,Day,No,No
20158004,2015,9,Weekday,Day,No,No
20157028,2015,9,Weekend,Night,No,No
20152149,2015,9,Weekend,Night,No,No
20151213,2015,9,Weekday,Day,No,No
20154089,2015,9,Weekday,Day,No,No
20151016,2015,9,Weekday,Day,No,No
20151156,2015,9,Weekday,Day,No,No
20156011,2015,9,Weekday,Day,No,No
20151046,2015,9,Weekday,Day,No,No
20151151,2015,9,Weekday,Day,No,No
20155072,2015,9,Weekday,Day,No,No
20151155,2015,9,Weekday,Night,No,No
20151116,2015,9,Weekend,Night,No,No
20157021,2015,9,Weekend,Night,No,No
20152007,2015,9,Weekend,Day,No,No
20152006,2015,9,Weekend,Day,No,No
20151086,2015,9,Weekend,Day,No,No
20151299,2015,9,Weekend,Day,No,No
20151140,2015,9,Weekend,Day,No,No
20155099,2015,9,Weekend,Day,No,No
20156016,2015,9,Weekend,Day,No,No
20151229,2015,9,Weekend,Night,No,No
20158005,2015,9,Weekend,Night,No,No
20154014,2015,9,Weekend,Night,No,No
20155120,2015,9,Weekend,Night,No,No
20151222,2015,9,Weekend,Night,No,No
20151176,2015,9,Weekend,Day,No,No
20152160,2015,9,Weekend,Day,No,No
20151286,2015,9,Weekend,Day,No,No
20154034,2015,9,Weekend,Day,No,No
20152130,2015,9,Weekend,Day,No,No
20156001,2015,9,Weekend,Day,No,No
20152046,2015,9,Weekend,Day,No,No
20151250,2015,9,Weekend,Night,No,No
20151087,2015,9,Weekday,Day,No,No
20155037,2015,9,Weekday,Day,No,No
20155096,2015,9,Weekday,Night,No,No
20152161,2015,9,Weekday,Night,No,No
20155106,2015,9,Weekday,Night,No,No
20152010,2015,9,Weekday,Night,No,No
20155135,2015,9,Weekday,Night,No,No
20157026,2015,9,Weekday,Night,No,No
20154074,2015,9,Weekday,Day,No,No
20151307,2015,9,Weekday,Day,No,No
20151050,2015,9,Weekday,Day,No,No
20152184,2015,9,Weekday,Day,No,No
20151178,2015,9,Weekday,Day,No,No
20154094,2015,9,Weekday,Day,No,No
20151263,2015,9,Weekday,Night,No,No
20155043,2015,9,Weekday,Night,No,No
20151106,2015,9,Weekday,Night,No,No
20154046,2015,9,Weekday,Night,No,No
20152137,2015,9,Weekday,Night,No,No
20151233,2015,9,Weekday,Day,No,No
20151166,2015,9,Weekday,Day,No,No
20151317,2015,9,Weekday,Day,No,No
20152113,2015,9,Weekday,Night,No,No
20152119,2015,9,Weekday,Night,No,No
20156002,2015,9,Weekday,Night,No,No
20152176,2015,8,Weekday,Night,No,No
20152117,2015,8,Weekday,Night,No,No
20151027,2015,8,Weekday,Day,No,No
20151071,2015,8,Weekday,Day,No,No
20151318,2015,8,Weekday,Day,No,No
20151208,2015,8,Weekday,Day,No,No
20151308,2015,8,Weekday,Day,No,No
20152181,2015,8,Weekday,Day,No,No
20154043,2015,8,Weekday,Day,No,No
20151325,2015,8,Weekend,Night,No,No
20152218,2015,8,Weekend,Night,No,No
20151323,2015,8,Weekend,Night,No,No
20155108,2015,8,Weekend,Night,No,No
20155027,2015,8,Weekend,Night,No,No
20155094,2015,8,Weekend,Night,No,No
20151003,2015,8,Weekday,Day,No,No
20155059,2015,8,Weekday,Day,No,No
20156014,2015,8,Weekday,Day,No,No
20151077,2015,8,Weekday,Day,No,No
20155119,2015,8,Weekday,Day,No,No
20152068,2015,8,Weekday,Day,No,No
20151274,2015,8,Weekday,Day,No,No
20157034,2015,8,Weekday,Day,No,No
20152152,2015,8,Weekday,Day,No,No
20154024,2015,8,Weekday,Night,No,No
20151217,2015,8,Weekday,Night,No,No
20152002,2015,8,Weekday,Night,No,No
20157014,2015,8,Weekend,Night,No,No
20155012,2015,8,Weekend,Day,No,No
20152040,2015,8,Weekend,Day,No,No
20151277,2015,8,Weekend,Day,No,No
20152028,2015,8,Weekend,Day,No,No
20157033,2015,8,Weekend,Day,No,No
20151227,2015,8,Weekend,Day,No,No
20151082,2015,8,Weekend,Day,No,No
20152103,2015,8,Weekend,Night,No,No
20152038,2015,8,Weekend,Night,No,No
20151115,2015,8,Weekend,Night,No,No
20151125,2015,8,Weekend,Night,No,No
20154076,2015,8,Weekend,Night,No,No
20151243,2015,8,Weekend,Night,No,No
20152076,2015,8,Weekend,Night,No,No
20155020,2015,8,Weekend,Day,No,No
20151212,2015,8,Weekend,Day,No,No
20151234,2015,8,Weekend,Day,No,No
20151290,2015,8,Weekend,Day,No,No
20154026,2015,8,Weekend,Day,No,No
20151175,2015,8,Weekend,Day,No,No
20151152,2015,8,Weekend,Day,No,No
20151075,2015,8,Weekend,Day,No,No
20151298,2015,8,Weekend,Day,No,No
20155051,2015,8,Weekend,Day,No,No
20154059,2015,8,Weekend,Day,No,No
20151204,2015,8,Weekend,Day,No,No
20151063,2015,8,Weekend,Day,No,No
20151182,2015,8,Weekend,Night,No,No
20152079,2015,8,Weekend,Night,No,No
20154009,2015,8,Weekday,Night,No,No
20151023,2015,8,Weekday,Night,No,No
20151297,2015,8,Weekday,Day,No,No
20152036,2015,8,Weekday,Day,No,No
20152100,2015,8,Weekday,Day,No,No
20157038,2015,8,Weekday,Day,No,No
20157025,2015,8,Weekday,Day,No,No
20155032,2015,8,Weekday,Day,No,No
20151244,2015,8,Weekday,Day,No,No
20152086,2015,8,Weekday,Night,No,No
20154005,2015,8,Weekday,Night,No,No
20152107,2015,8,Weekday,Night,No,No
20151068,2015,8,Weekday,Night,No,No
20155101,2015,8,Weekday,Night,No,No
20154010,2015,8,Weekday,Day,No,No
20152209,2015,8,Weekday,Day,No,No
20151245,2015,8,Weekday,Day,No,No
20155061,2015,8,Weekday,Day,No,No
20151313,2015,8,Weekday,Day,No,No
20151186,2015,8,Weekday,Day,No,No
20155041,2015,8,Weekday,Day,No,No
20154047,2015,8,Weekday,Day,No,No
20151269,2015,8,Weekday,Day,No,No
20154095,2015,8,Weekday,Day,No,No
20152222,2015,8,Weekday,Day,No,No
20152229,2015,8,Weekday,Night,No,No
20152226,2015,8,Weekday,Night,No,No
20157027,2015,8,Weekday,Night,No,No
20155028,2015,8,Weekday,Night,No,No
20155056,2015,8,Weekday,Night,No,No
20152111,2015,8,Weekday,Night,No,No
20151146,2015,8,Weekday,Day,No,No
20155062,2015,8,Weekday,Day,No,No
20152033,2015,8,Weekday,Day,No,No
20152075,2015,8,Weekday,Day,No,No
20157020,2015,8,Weekday,Day,No,No
20155074,2015,8,Weekday,Night,No,No
20152175,2015,8,Weekday,Night,No,No
20154090,2015,7,Weekday,Day,No,No
20151190,2015,7,Weekday,Day,No,No
20151144,2015,7,Weekday,Day,No,No
20151171,2015,7,Weekday,Day,No,No
20152190,2015,7,Weekday,Day,No,No
20152014,2015,7,Weekday,Day,No,No
20155113,2015,7,Weekday,Day,No,No
20151083,2015,7,Weekend,Night,No,No
20151202,2015,7,Weekend,Night,No,No
20152164,2015,7,Weekday,Day,No,No
20155001,2015,7,Weekday,Night,No,No
20156022,2015,7,Weekend,Night,No,No
20151187,2015,7,Weekend,Day,No,No
20152093,2015,7,Weekend,Day,No,No
20152156,2015,7,Weekend,Day,No,No
20154061,2015,7,Weekend,Day,No,No
20154018,2015,7,Weekend,Day,No,No
20157031,2015,7,Weekend,Day,No,No
20151102,2015,7,Weekend,Day,No,No
20155019,2015,7,Weekend,Night,No,No
20151230,2015,7,Weekend,Night,No,No
20152099,2015,7,Weekend,Night,No,No
20152071,2015,7,Weekend,Night,No,No
20151025,2015,7,Weekend,Day,No,No
20151069,2015,7,Weekend,Day,No,No
20151183,2015,7,Weekend,Day,No,No
20151138,2015,7,Weekend,Night,No,No
20152102,2015,7,Weekend,Night,No,No
20151161,2015,7,Weekday,Night,No,No
20157002,2015,7,Weekday,Night,No,No
20151158,2015,7,Weekday,Night,No,No
20158010,2015,7,Weekday,Night,No,No
20156023,2015,7,Weekday,Day,No,No
20152122,2015,7,Weekday,Day,No,No
20152223,2015,7,Weekday,Day,No,No
20156020,2015,7,Weekday,Day,No,No
20152087,2015,7,Weekday,Day,No,No
20151236,2015,7,Weekday,Day,No,No
20152074,2015,7,Weekday,Night,No,No
20151037,2015,7,Weekday,Night,No,No
20151284,2015,7,Weekday,Night,No,No
20151006,2015,7,Weekday,Day,No,No
20152013,2015,7,Weekday,Day,No,No
20151135,2015,7,Weekday,Day,No,No
20151112,2015,7,Weekday,Day,No,No
20154030,2015,7,Weekday,Night,No,No
20151221,2015,7,Weekday,Night,No,No
20151038,2015,7,Weekday,Night,No,No
20155040,2015,7,Weekday,Night,No,No
20152147,2015,7,Weekday,Night,No,No
20151118,2015,7,Weekday,Day,No,No
20151283,2015,7,Weekday,Day,No,No
20156013,2015,7,Weekday,Day,No,No
20151270,2015,7,Weekday,Day,No,No
20151255,2015,7,Weekday,Day,No,No
20151305,2015,7,Weekday,Day,No,No
20152145,2015,7,Weekday,Day,No,No
20151196,2015,7,Weekday,Day,No,No
20156005,2015,7,Weekday,Day,No,No
20151165,2015,7,Weekday,Day,No,No
20151189,2015,7,Weekday,Day,No,No
20158014,2015,7,Weekday,Night,No,No
20151053,2015,7,Weekday,Night,No,No
20155093,2015,7,Weekday,Night,No,No
20151203,2015,6,Weekday,Day,No,No
20154035,2015,6,Weekday,Day,No,No
20151143,2015,6,Weekday,Day,No,No
20151128,2015,6,Weekday,Day,No,No
20152029,2015,6,Weekday,Day,No,No
20151024,2015,6,Weekday,Day,No,No
20152066,2015,6,Weekday,Day,No,No
20156030,2015,6,Weekend,Night,No,No
20152198,2015,6,Weekend,Night,No,No
20157009,2015,6,Weekend,Night,No,No
20152167,2015,6,Weekend,Night,No,No
20152055,2015,6,Weekend,Night,No,No
20151215,2015,6,Weekend,Night,No,No
20151164,2015,6,Weekend,Night,No,No
20155092,2015,6,Weekend,Night,No,No
20151119,2015,6,Weekend,Night,No,No
20157001,2015,6,Weekday,Day,No,No
20152026,2015,6,Weekday,Day,No,No
20151105,2015,6,Weekday,Day,No,No
20154092,2015,6,Weekday,Day,No,No
20151148,2015,6,Weekday,Day,No,No
20155031,2015,6,Weekday,Day,No,No
20151090,2015,6,Weekday,Day,No,No
20157036,2015,6,Weekday,Night,No,No
20154021,2015,6,Weekday,Night,No,No
20151294,2015,6,Weekday,Night,No,No
20152019,2015,6,Weekend,Night,No,No
20151074,2015,6,Weekend,Night,No,No
20157040,2015,6,Weekend,Night,No,No
20151262,2015,6,Weekend,Night,No,No
20154079,2015,6,Weekend,Night,No,No
20155064,2015,6,Weekend,Night,No,No
20151238,2015,6,Weekend,Day,No,No
20152227,2015,6,Weekend,Day,No,No
20151211,2015,6,Weekend,Day,No,No
20152116,2015,6,Weekend,Day,No,No
20151124,2015,6,Weekend,Day,No,No
20155068,2015,6,Weekend,Night,No,No
20151127,2015,6,Weekend,Day,No,No
